id	ZONA	Neighborhood	Street	Start date and time	End date and time	Direction	Reference	Status
1	Zona Leste	Itaim Paulista	AV.DAS PONTES	2019/10/17 17:15	2019/10/17 18:40	AMBOS	R. DANÇAS HUNGARAS	Inativo Intransitável
2	Zona Leste	Itaim Paulista	R. CAPACHOS	2019/10/17 17:15	2019/10/17 18:40	AMBOS	R. ANDRÉ DE GUIMARÃES	Inativo Intransitável
3	Zona Leste	Mooca	AV. SALIM FARAH MALUF	2019/09/03 18:56	2019/09/03 19:02	V.PRUDENTE/MARGINAL	R. DEMETRIO RIBEIRO	Inativo Transitável
4	Centro	Sé	PC. DA. BANDEIRA	2019/09/02 04:35	2019/09/02 05:20	CENTRO/BAIRRO - NÃO INFORMADA	AV. VINTE E TRES DE MAIO	Inativo Transitável
5	Centro	Sé	AV. MERCURIO (SE)	2019/09/02 06:15	2019/09/02 06:59	UNICO - ESQUERDA	PC S VITO	Inativo Transitável
6	Centro	Sé	AV. MERCURIO	2019/09/02 06:27	2019/09/02 06:42	UNICO - ESQUERDA	PC. S. VITO	Inativo Transitável
7	Zona Oeste	Pinheiros	AV. DAS NACOES UNIDAS (ALTO DE PINHEIROS)	2019/09/02 04:26	2019/09/02 07:34	INTERLAGOS/CASTELO - LOCAL	R OLIVIA FEDER	Inativo Transitável
8	Zona Oeste	Pinheiros	R. JAMES HOLLAND	2019/09/02 05:05	2019/09/02 05:45	UNICO - NÃO INFORMADA	R. PDE. LUIS ALVES DE SIQUEIRA	Inativo Transitável
9	Zona Norte TESTE	Casa Verde	MARGINAL TIETE ASCB EXPRESSA (CASA VERDE)	2019/09/01 14:01	2019/09/01 17:47	A SENNA/CASTELO B - EXPRESSA	PTE DA CASA VERDE-JORN.WALTER ABRAHAO	Inativo Transitável
11	Centro	Sé	AV. RIO BRANCO	2019/09/01 14:24	2019/09/02 00:10	UNICO	ALTURA DO NÚMERO 633	Inativo Transitável
12	Zona Leste	Mooca	AV. CRUZEIRO DO SUL	2019/09/01 19:05	2019/09/02 00:10	IPIRANGA/SANTANA	ALTURA DO NÚMERO 400	Inativo Transitável
13	Zona Norte	Santana	MARGINAL TIETE	2019/07/05 00:03	2019/07/05 08:42	A SENNA/CASTELO B - EXP	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
14	Zona Norte	Santana	MARGINAL TIETE	2019/07/05 00:08	2019/07/05 10:51	AS/CB - CENTRAL	PTE DAS BANDEIRAS SEN ROMEU TUMA	Inativo Intransitável
